"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Optical Design and Detection Method","Electronics and Control System","Manufacturing and Cost Considerations"
"Optimizing the u411 automated urinalysis instrument for veterinary use.","https://scispace.com/paper/31958148","2020","Journal Article","Veterinary clinical pathology","Evans
Sharp
Vap","10.1111/vcp.12818","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses the Cobas u411 benchtop analyzer, a reflectance‑photometry dipstick system, and details its veterinary optimization, including calibration and hardware adjustments.","The Cobas u411 Analyzer (Roche Diagnostics) is an automated, reflectance photometry-based urinalysis instrument designed for use with Roche's CHEMSTRIP 10UA technology and human urine samples.","The Cobas u411 Analyzer is an automated, reflectance photometry-based urinalysis instrument. It is designed for use with Roche's CHEMSTRIP 10UA technology. The paper focuses on optimizing this instrument for veterinary use, including calibration and hardware adjustments. Specific details on LED type, wavelengths, detector type, or optical path configuration are not provided.","Not available in metadata.","The Cobas u411 Analyzer is an automated, reflectance photometry-based urinalysis instrument designed for human urine samples. The paper focuses on optimizing this existing instrument for veterinary use, suggesting adaptations rather than detailing its original manufacturing. No information is available regarding its manufacturing approach, assembly methods, cost optimization strategies, material selection, mechanical design for production, quality control methods, or specific considerations for low-cost production. Component sourcing or BOM details are also not mentioned."
"Automatic System for Urine Analysis. I. System Design and Development","https://scispace.com/paper/automatic-system-for-urine-analysis-i-system-design-and-3b0sxmofch","1972","Journal Article","Clinical Chemistry","Anton Hubert Clemens
Richard L. Hurtle","10.1093/CLINCHEM/18.8.789","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a benchtop instrument with dual‑wavelength spectrophotometer for dipstick tests; provides hardware architecture and reagent cassette design; mentions optical detection but lacks detailed reflectance photometry methodology.","Development of an automatic system for urine analysis is described. A bench-top instrument will simultaneously perform seven chemical tests and give a value for the specific gravity of urine specimens, at a sample rate of 120 specimens per hour. Reagents packaged in a unique reagent cassette are used for protein, glucose, ketone, pH, occult blood, and bilirubin, and the falling drop method is used to determine specific gravity in this discrete microsampling, multichannel analyzer. A digital, dual wavelength, ratio-reading spectrophotometer for use with surface reactions permits high reproducibility. The total system design includes positive patient-sample identification, central digital programming of all dispense, read-and-compute functions, a digital processor for automatic two-point calibration of each of the channels, decoding in the ""plus"" system and printout on the sample tag, and the electronic interface with American Standard Code for Information Interchange output for teletype and (or) computer compatibility.","The system uses a digital, dual wavelength, ratio-reading spectrophotometer for surface reactions. It features high reproducibility. A digital processor provides automatic two-point calibration for each channel. Specific details on light source type, detector type, or optical path configuration like fiber optics are not available.","The system includes a digital processor for automatic two-point calibration and central digital programming of dispense, read, and compute functions. It features a digital, dual wavelength, ratio-reading spectrophotometer for surface reactions. The electronic interface provides American Standard Code for Information Interchange (ASCII) output for teletype and/or computer compatibility.","The system uses reagents packaged in a unique reagent cassette. It features a digital, dual wavelength, ratio-reading spectrophotometer for high reproducibility. The design includes a digital processor for automatic two-point calibration and decoding in the ""plus"" system. No specific details on manufacturing approach, cost optimization, material selection, or component sourcing are provided beyond these."
"Urinalysis with the new fully automated analyzer supertron","https://scispace.com/paper/urinalysis-with-the-new-fully-automated-analyzer-supertron-p5reozvdhy","1995","","","Dietmar Nagel
Dieter Seiler","","","- **Relevance Score:** 64/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses fully automated benchtop system with photometric strip reading; gives some hardware/automation details; mentions photometric detection but lacks in‑depth reflectance methodology.","Supertron is a new fully automated urinalysis system which provides semi-quantitative results for erythrocytes, leukocytes, glucose, protein, urobilinogen, bilirubin, nitrite, ketone bodies, pH and specific gravity at a maximum throughput of 300 test strips per hour. Processing is fully automated starting from sample selection to test strip dipping and photometric measurement of the reagent field. In addition, results can be transmitted automatically to the integrated printer and/or host computer as needed. Within-run precision is good. The results of repeated measurements (n = 20) of most analytes fell in the same concentration block. Only one of three urine pools for erythrocytes, nitrite, ketone bodies, pH and specific gravity gave results which overlapped two neighbouring blocks. A comparison of the ten test strip analytes between Supertron and Miditron revealed a concordance of 96 to 100% in 390 urine specimens. A comparison of erythrocytes and leukocytes vs. the counting chamber method showed a concordance of 86 to 98% in 239 urine specimens. Also tested in detail were the stability of the test strips over 24 hours in Supertron's sorter drum and how well the integrated mixing rod was capable of mixing the urine specimens. Both were found to be good. The test strip stability exceeds the 10 h stability guaranteed by the manufacturer, and no differences were found after urine samples were left for 60 minutes on the tray.","Not available in metadata.","Not available in metadata.","The Supertron is a new fully automated urinalysis system. Its processing is fully automated from sample selection to test strip dipping and photometric measurement. Within-run precision is good, with most analytes falling in the same concentration block. Test strip stability exceeds the manufacturer's guaranteed 10 hours. No information on manufacturing approach, cost, materials, or component sourcing is available."
"Urine dry-chemistry analysis device and analysis method based on multiple monochromatic light rays and optical fibers","https://scispace.com/paper/urine-dry-chemistry-analysis-device-and-analysis-method-5diiyqnm3b","2016","Patent","","Liu Gaiqin","","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses multiple monochromatic LEDs and fiber optics for reflectance detection, detailing hardware layout and calibration, but benchtop integration is not explicitly confirmed.","The invention discloses a urine dry-chemistry analysis device and analysis method based on multiple monochromatic light rays and optical fibers. The analysis device comprises a test strip and a light source, wherein test strip blocks are arranged on the test strip; the light source is a monochromatic source group constituted by 2-6 monochromatic LED light sources, and each monochromatic light ray in the monochromatic source group irradiates the test strip blocks perpendicularly by irradiating the corresponding optical fiber bundle; reflected light of each monochromatic light ray by the test strip blocks irradiates a photoelectric sensor through common reflection optical fibers, and the photoelectric sensor detects the light intensity of the reflected light reflected by the test strip blocks; the output of the photoelectric sensor is connected with a microprocessor which is connected with a temperature measurement unit and a light intensity control unit simultaneously. An optical path system and a signal acquisition method of the conventional urine analyzer are changed by the optical fibers, influence of the distance between the test strip and a detection module, the sensor and the like on a test result is reduced, the measurement accuracy, consistency and stability of the urine analyzer are improved effectively, the cost is reduced, and the assembly is simplified.","The analysis device uses a monochromatic source group of 2-6 monochromatic LED light sources. Each LED light ray irradiates test strip blocks perpendicularly via corresponding optical fiber bundles. Reflected light from the test strip blocks then irradiates a photoelectric sensor through common reflection optical fibers. The photoelectric sensor detects the reflected light intensity. This design reduces influence from distance, improving accuracy and stability.","The analysis device includes a microprocessor connected to a photoelectric sensor, a temperature measurement unit, and a light intensity control unit. The photoelectric sensor detects reflected light intensity. The system changes conventional optical path and signal acquisition methods to improve accuracy, consistency, and stability. Specific details on microcontroller type, ADC, signal conditioning, power supply, or communication interfaces are not available.","The device simplifies assembly and reduces cost. It utilizes a monochromatic source group of 2-6 LED light sources and optical fibers. The design changes the optical path system and signal acquisition, improving measurement accuracy, consistency, and stability."
"Renal Biomarker Detection Using Point of Care Miniaturized Devices","https://scispace.com/paper/EKC5wToWl5cJ","","","","S Kumar
SK Dubey
S Goel","","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses reflectance photometry on dipsticks with schematic details, but focuses on a miniaturized point‑of‑care device rather than a benchtop system.","","The system uses reflectance photometry with a schematic diagram provided. It detects renal biomarkers on dipsticks and is linked to an electrochemical analyzer. The approach involves strip composition and reflectance photometry. Calibration or color correction methods are not detailed.","Not available in metadata.","The metadata mentions ""strip composition"" and ""reflectance photometry schematic diagram"" for a miniaturized point-of-care device. It also notes the device focuses on miniaturization rather than being a benchtop system. Specific details on manufacturing approach, assembly, cost optimization, material selection, mechanical design for production, quality control, or component sourcing are not available."
"Verification of the Reliability of an Automated Urine Test Strip Colorimetric Program Using Colorimetric Analysis: Survey Study","https://scispace.com/paper/eqPAvPOTaqoJ","","","","K Inagaki
D Tsuriya
T Hashimoto","","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LABOSPECT 006 reflectance analyzer to verify colorimetric program; confirms optical method but lacks detailed hardware design.","","The paper states that the LABOSPECT 006 can evaluate reflectance, confirming an optical method. It mentions urinalysis test strips react with urine analytes, which are checked by an automated urine analyzer. However, specific details on light source, detector type, optical path configuration, or calibration methods are not available in the metadata.","The metadata mentions an automated urine analyzer (LABOSPECT 006) that can evaluate reflectance, confirming an optical method. However, it does not provide details on its electronics architecture, including microcontroller/processor type, ADC specifications, signal conditioning, power supply requirements, communication interfaces, or specific electronic components.","Not available in metadata."
"[Study on a New Urine Analysis Core Module Based on Semi-Reflection Mirror].","https://scispace.com/paper/study-on-a-new-urine-analysis-core-module-based-on-semi-fmh4t59t1udn","","","","Longcong Chen
Gaiqin Liu
Nan Hu
Ruiying Zhang
Qifeng Jiang
Bin Gao
Xingliang Xiong","10.7507/1001-5515.20140244","","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Provides a detailed core module with color sensor and reflectivity measurement, offering hardware design insight and reflectance‑based detection, but stops short of a complete benchtop dipstick system.","A new urine analysis core module based on high performance 32-bit microprocessor and high precision color sensor was presented. A novel optical structure and a specific circuit were applied to improve measurement precision and temperature was used to compensate for results in this core module. The information of urine test peice, such as all original data and color RGB value, reflectivity, semi-quantitative level, etc. can be output. The results showed that the measuring precision was about 95% or above with ideal stability and reliability using this presented core module, which can be conveniently applied in various urine analyzers, and can greatly decrease the cost of urine analyzers in development and production.","A novel optical structure was applied, utilizing a high precision color sensor for detection. The system measures color RGB values and reflectivity from urine test pieces. Temperature compensation is used for results. No specific details on light source, detector type (beyond ""color sensor""), or optical path configuration like fiber optics are provided.","A new urine analysis core module uses a high performance 32-bit microprocessor and a high precision color sensor. It incorporates a specific circuit to improve measurement precision and uses temperature compensation. The module outputs original data, color RGB values, reflectivity, and semi-quantitative levels.","The core module can greatly decrease the cost of urine analyzers in development and production. It uses a high performance 32-bit microprocessor and high precision color sensor. The measuring precision is about 95% or above with ideal stability and reliability."
"Análise automatizada de exames de urina utilizando imagens digitais de dipsticks","https://scispace.com/paper/analise-automatizada-de-exames-de-urina-utilizando-imagens-4vd1kc952l","2017","Proceedings Article","","Rafaela Barbirato Ferreira
Lucas Ferrari de Oliveira","10.5753/SBCAS.2017.3718","https://scispace.com/pdf/analise-automatizada-de-exames-de-urina-utilizando-imagens-4vd1kc952l.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses digital imaging to automate dipstick reading, providing detailed hardware layout and UI design; employs reflectance imaging but not a dedicated optical reflectance photometer, so matches design criteria well but only loosely fulfills the specific photometry integration requirement.","Este artigo propoe um estudo sobre a analise de fitas reagentes (dipsticks) para exames de urina. Uma base de imagens de dispsticks foi criada, possibilitando o desenvolvimento e avaliacao das tecnicas de extracao propostas. A extracao de caracteristicas das imagens foi feita utilizando-se os modelos de cores HSV e RGB. Para os testes o classificador escolhido foi o MLP (Multilayer Perceptron). A quantidade de camadas da rede, numero de neuronios, taxa de aprendizado, momentos e epocas foram variados, visando melhores resultados de classificacao. O MLP obteve uma media de 91; 21% de taxa da acerto, mostrando-se eficiente na classificacao dos dados. Os experimentos desenvolvidos confirmaram que a tecnica e viavel.","The urine analyzer system uses a reflectance photometer to process urine strips. It measures the relationship between reflected luminosity from the strip and incident luminous flux. The information extraction from images was done in HSV and RGB color models. The paper mentions a standard color table for visual comparison but does not detail specific light sources, detectors, or optical path configurations for the automated system.","Not addressed in this paper.","The paper proposes using a conventional desktop scanner for image acquisition, aiming for a low-cost equipment solution in laboratory routines. The automated analysis technique, utilizing image processing and machine learning, is presented as a viable and efficient method for data classification. Cost optimization is achieved by avoiding expensive specialized equipment, making the manual analysis process more efficient."
"Application of analytical performance specifications for urine test strip methods: Importance of reflectance signals","https://scispace.com/paper/application-of-analytical-performance-specifications-for-3sxfthf4vk","2023","Journal Article","","Julien Cabo
Julien Favresse","10.1016/j.cca.2023.117534","https://www.researchgate.net/profile/Julien-Cabo/publication/375867971_Application_of_analytical_performance_specifications_for_urine_test_strip_methods_importance_of_reflectance_signals/links/6560758b3fa26f66f42322de/Application-of-analytical-performance-specifications-for-urine-test-strip-methods-importance-of-reflectance-signals.pdf","- **Relevance Score:** 50/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses reflectance signals to improve glucose, protein, albumin detection and sets optimized thresholds, but provides limited hardware integration or design specifics.","Urinalysis is essential for diagnosing kidney-related medical conditions. Urine test strip analysis serves as an initial and efficient screening method for reflex testing with accurate quantitative methods. Freshly voided urines (n = 206) were analysed using two urine test strip brands on UC-MAX (Menarini) and cobas u 601 (Roche Diagnostics) instruments. Ordinal scale categories and reflectance signals (if available) were both used for the comparison with reference quantitative methods for glucose, proteins and albumin (cobas 503). Samples were considered positive when glucose > 15 or ≥ 54 mg/dL, proteins ≥ 200 mg/L and albumin ≥ 10 mg/L. Optimized reflectance thresholds were calculated by ROC curve analysis. Analytical performance specifications (APS) for trueness of test strip were gathered from the EFLM guideline (FPD, FNG, FNC). Reflectance signals were significantly lower in urine samples considered positive by the reference method (p < 0.0001). Reflectance signals were also correlated with quantitative measurements, showing strong correlation (0.754 to 0.969). Only the use of optimized reflectance thresholds on cobas u 601 achieved at least the minimum EFLM APS (FPD < 20%, FNG < 50% and FNC < 10%). The use of reflectance signals from urine test strips enhanced accuracy for glucose, proteins, and albumin measurement and may contribute to improve diagnosis of diverse kidney-related conditions. ","Not available in metadata.","Not available in metadata.","Not available in metadata."
"Reflection-photometric analytical system","https://scispace.com/paper/reflection-photometric-analytical-system-4nh36qfa7m","2003","Patent","","Friedrich Ziegler","","","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Describes a reflection‑photometric head for body‑fluid test strips and includes a non‑contact distance check, but lacks full benchtop integration, detailed hardware architecture, and in‑depth photometric methodology for dipstick analysis.","The invention concerns a reflection-photometric analytical system having a measuring head ( 10 ) comprising a source of radiation ( 36 ) and a radiation detector ( 26 ) for the reflection-photometric analysis of a target surface ( 12 ) of a test object ( 14 ) arranged at a distance from the measuring head ( 10 ) and in particular of a test strip for body fluids such as urine or blood. A triangulation unit ( 16 ) operating on the basis of optical triangulation is proposed for checking the distance without making contact in order to monitor or regulate the measuring distance.","The system uses a measuring head with a source of radiation and a radiation detector for reflection-photometric analysis of a target surface. An optical triangulation unit checks the distance without contact to monitor or regulate the measuring distance. The system is designed for test objects like test strips for body fluids such as urine or blood.","Not available in metadata.","Not available in metadata."
