"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Progress in Automated Urinalysis","https://scispace.com/paper/progress-in-automated-urinalysis-4kxy7xdmqe","2019","Journal Article","Korean Journal of Laboratory Medicine","Matthijs Oyaert
Joris R. Delanghe","10.3343/ALM.2019.39.1.15","https://biblio.ugent.be/publication/8589123/file/8708569.pdf","New technological advances have paved the way for significant progress in automated urinalysis. Quantitative reading of urinary test strips using reflectometry has become possible, while complementary metal oxide semiconductor (CMOS) technology has enhanced analytical sensitivity and shown promise in microalbuminuria testing. Microscopy-based urine particle analysis has greatly progressed over the past decades, enabling high throughput in clinical laboratories. Urinary flow cytometry is an alternative for automated microscopy, and more thorough analysis of flow cytometric data has enabled rapid differentiation of urinary microorganisms. Integration of dilution parameters (e.g., creatinine, specific gravity, and conductivity) in urine test strip readers and urine particle flow cytometers enables correction for urinary dilution, which improves result interpretation. Automated urinalysis can be used for urinary tract screening and for diagnosing and monitoring a broad variety of nephrological and urological conditions; newer applications show promising results for early detection of urothelial cancer. Concomitantly, the introduction of matrix-assisted laser desorption ionization-time-of-flight mass spectrometry (MALDI-TOF MS) has enabled fast identification of urinary pathogens. Automation and workflow simplification have led to mechanical integration of test strip readers and particle analysis in urinalysis. As the information obtained by urinalysis is complex, the introduction of expert systems may further reduce analytical errors and improve the quality of sediment and test strip analysis. With the introduction of laboratory-on-a-chip approaches and the use of microfluidics, new affordable applications for quantitative urinalysis and readout on cell phones may become available. In this review, we present the main recent developments in automated urinalysis and future perspectives.","The main recent developments in automated urinalysis are presented and the introduction of expert systems may further reduce analytical errors and improve the quality of sediment and test strip analysis."
"Development of multi-colorimeter module for low-cost urinalysis strip readers","https://scispace.com/paper/development-of-multi-colorimeter-module-for-low-cost-2zc5qb4lm7","2008","Journal Article","Journal of Sensor Science and Technology ","Soo-Young Ye
Yong-uk Jeon
Do-Un Jeong
Gye-Rok Jeon
Jung Hoon Ro","10.5369/JSST.2008.17.5.387","https://scispace.com/pdf/development-of-multi-colorimeter-module-for-low-cost-2zc5qb4lm7.pdf","An optic module system is developed adopting multiple colorimetry units for the measurement of multi-pad urinalysis dipsticks Multiple photometry system instead of moving mechanisms has the advantages of system reliability and simplicity as well as economic aspects due to the recent development of economic color light emitting diodes and stable photo sensors An integration amplifier with programmable integration time, a current source circuit with selectable and stable current settings were connected through analog multiplexers to thirty light emitting diodes for illumination and ten photo transistors for reading each strip pad All the circuits are controlled by a microprocessor through a simple set of serial communication commands The detect ability is eighteen times better than the minimum color difference of the test grading which is 0013 in urobilinogen in the color space defined in this paper","In this article, an optic module system is developed adopting multiple colorimetry units for the measurement of multi-pad urinalysis dipsticks using multiple photometry system instead of moving mechanisms."
"Development of a Plural Colorimeter Module for Urinalysis Strip Readers","https://scispace.com/paper/development-of-a-plural-colorimeter-module-for-urinalysis-59sxat3q16","2007","Proceedings Article","International Conference on Convergence Information Technology","Jung Hoon Ro
Yong-uk Jeon
Ah-young Jeon
Jae-hee Jung
In Cheol Kim
Jae-Hyung Kim
Soo Young Ye
Gye Rok Jeon","10.1109/ICCIT.2007.179","","An optic module system is developed adopting multiple colorimetry units for the measurement of multi-pad urinalysis dipsticks. Multiple photometry system instead of moving mechanisms has the advantages of system reliability and simplicity as well as economic aspects due to the recent development of economic color light emitting diodes and stable photo sensors. An integration amplifier with programmable integration time, a current source circuit with selectable and stable current settings were connected through analog multiplexers to forty light emitting diodes for illumination and twelve photo transistors for reading each strip pad. All the circuits are controlled by a microprocessor through a simple set of serial communication commands. The detectability is eighteen times better than the minimum color difference of the test grading which is 0.013 in urobilinogen in the color space defined in this paper.","An optic module system is developed adopting multiple colorimetry units for the measurement of multi-pad urinalysis dipsticks with detectability eighteen times better than the minimum color difference of the test grading which is 0.013 in urobilinogen in the color space defined in this paper."
"Reflection-photometric analytical system","https://scispace.com/paper/reflection-photometric-analytical-system-4nh36qfa7m","2003","Patent","","Friedrich Ziegler","","","The invention concerns a reflection-photometric analytical system having a measuring head ( 10 ) comprising a source of radiation ( 36 ) and a radiation detector ( 26 ) for the reflection-photometric analysis of a target surface ( 12 ) of a test object ( 14 ) arranged at a distance from the measuring head ( 10 ) and in particular of a test strip for body fluids such as urine or blood. A triangulation unit ( 16 ) operating on the basis of optical triangulation is proposed for checking the distance without making contact in order to monitor or regulate the measuring distance.","In this paper, a reflection-photometric analytical system has been proposed for the analysis of a target surface of a test object arranged at a distance from the measuring head, and a triangulation unit is proposed for checking the distance without making contact in order to monitor or regulate the measuring distance."
"Urine dry-chemistry analysis device and analysis method based on multiple monochromatic light rays and optical fibers","https://scispace.com/paper/urine-dry-chemistry-analysis-device-and-analysis-method-5diiyqnm3b","2016","Patent","","Liu Gaiqin","","","The invention discloses a urine dry-chemistry analysis device and analysis method based on multiple monochromatic light rays and optical fibers. The analysis device comprises a test strip and a light source, wherein test strip blocks are arranged on the test strip; the light source is a monochromatic source group constituted by 2-6 monochromatic LED light sources, and each monochromatic light ray in the monochromatic source group irradiates the test strip blocks perpendicularly by irradiating the corresponding optical fiber bundle; reflected light of each monochromatic light ray by the test strip blocks irradiates a photoelectric sensor through common reflection optical fibers, and the photoelectric sensor detects the light intensity of the reflected light reflected by the test strip blocks; the output of the photoelectric sensor is connected with a microprocessor which is connected with a temperature measurement unit and a light intensity control unit simultaneously. An optical path system and a signal acquisition method of the conventional urine analyzer are changed by the optical fibers, influence of the distance between the test strip and a detection module, the sensor and the like on a test result is reduced, the measurement accuracy, consistency and stability of the urine analyzer are improved effectively, the cost is reduced, and the assembly is simplified.","In this article, a urine dry-chemistry analysis device and analysis method based on multiple monochromatic light rays and optical fibers is presented, where a test strip and a light source are arranged on the test strip, and the light source is a monochroma-source group constituted by 2-6 monochrome LED light sources."
"Novel optical absorbance-based multi-analytes detection module using a tri-chromatic LED, PDs and plastic optical fibers and its application to a palm-sized urine test strip reader","https://scispace.com/paper/novel-optical-absorbance-based-multi-analytes-detection-6e659ea7nd","2010","Proceedings Article","IEEE Sensors","Dae-Sik Lee
Mun Yeon Jung
Byoung Goo Jeon
Mi-Jin Sohn","10.1109/ICSENS.2010.5690509","","We have designed, fabricated and characterized a new palm-sized urine test strip reader (9.5 × 6.5 × 1.8 cm3) using a novel optical absorbance-based multi-analytes detecting module, consisting of a three-chromatic light-emitting diode (LED) component, photodiodes, and optical waveguide for digital readouts. The instrument is a handheld, simple but powerful in obtaining reliably a numerical analog output compatible with urine-based test strips. The proposed optical module demonstrated the excellent reading out of signal levels of proteins, glucose, blood cells, respectively, in the test urine strip kits, with low fabrication cost, rapidness, precision and reproducibility.","In this article, a palm-sized urine test strip reader was developed using a novel optical absorbance-based multi-analytes detecting module, consisting of a three-chromatic light-emitting diode (LED) component, photodiodes, and optical waveguide for digital readouts."
"Automatic System for Urine Analysis. I. System Design and Development","https://scispace.com/paper/automatic-system-for-urine-analysis-i-system-design-and-3b0sxmofch","1972","Journal Article","Clinical Chemistry","Anton Hubert Clemens
Richard L. Hurtle","10.1093/CLINCHEM/18.8.789","","Development of an automatic system for urine analysis is described. A bench-top instrument will simultaneously perform seven chemical tests and give a value for the specific gravity of urine specimens, at a sample rate of 120 specimens per hour. Reagents packaged in a unique reagent cassette are used for protein, glucose, ketone, pH, occult blood, and bilirubin, and the falling drop method is used to determine specific gravity in this discrete microsampling, multichannel analyzer. A digital, dual wavelength, ratio-reading spectrophotometer for use with surface reactions permits high reproducibility. The total system design includes positive patient-sample identification, central digital programming of all dispense, read-and-compute functions, a digital processor for automatic two-point calibration of each of the channels, decoding in the ""plus"" system and printout on the sample tag, and the electronic interface with American Standard Code for Information Interchange output for teletype and (or) computer compatibility.","The total system design includes positive patient-sample identification, central digital programming of all dispense, read-and-compute functions, a digital processor for automatic two-point calibration of each of the channels, decoding in the ""plus"" system and printout on the sample tag, and the electronic interface with American Standard Code for Information Interchange output for teletype and (or) computer compatibility."
"The LUMINA setup for a light-based urine monitoring and analysis","https://scispace.com/paper/the-lumina-setup-for-a-light-based-urine-monitoring-and-jp3gw16250","2024","Journal Article","","Alessandro Fantoni
Miguel Fernandes
Jorge Fidalgo
Miriam K. Soto
Sofia Pereira
Aitor Moreno
Catarina Domingos
Ana Júlia Silva Correia
Henrique Sousa
Caterina Serafinelli
M. Vieira","10.1117/12.3022182","","Optoelectronic and spectral analysis of urine can be performed on site by low-cost portable technology, interfaced to signal processing and machine learning algorithm. These algorithms, trained on a set of previously known diagnostic outputs, can correlate the urine optoelectronic measured parameters with the person's health status. The proposed solution is the development of an optoelectronic setup, suitable to be embedded in a portable configuration, capable of performing on site and in a short amount of time a urine screening based on a set of techniques of increasing three levels of complexity. The proposed parameters to be measured are dominant color and turbidity (1st level), UV induced fluorescence (2nd level), Raman Spectroscopy (3rd level). The system can be used to perform a set of measurements on a set of urine samples of already known health condition to carry out the training of a machine learning algorithm for assessing the risk of developing Acute Kidney Injury. All the technical information is public open access, available at https://github.com/ISELDEETC/PhotoAKI/tree/main/LUMINA. ","Optoelectronic and spectral analysis of urine can be performed on-site using a low-cost portable setup, interfaced with signal processing and machine learning algorithms. The system can measure dominant color, turbidity, UV-induced fluorescence, and Raman spectroscopy to assess the risk of developing Acute Kidney Injury."
"Continuous spectroscopic monitoring of urinary catheter output: advancements and clinical implications","https://scispace.com/paper/continuous-spectroscopic-monitoring-of-urinary-catheter-i4q8gmlcirs4","2025","Journal Article","Dental science reports","Sebastian Kuenert
Anastasia Meckler
Leonardo Poggi
Lukas Schipper
Thanusiah Selvamoorthy
Bernadette Hosters
Eva-Maria Huessler
F. Nensa
René Hosch
M. Berger
Mario Vincent Roser
Ramsi Siaj","10.1038/s41598-025-92802-2","","Urine diagnostics are crucial for identifying urological disorders and systemic diseases. Monitoring bladder catheters for urine output and early signs of urinary tract infections (UTIs) is essential but labor-intensive and prone to documentation errors. Recent advances in electronic monitoring and spectroscopy offer potential improvement in this process. This study introduces a novel smart sensor system for urinary catheters, enabling digital, continuous, automated real-time spectroscopic urine monitoring. A prototype consisting of a mini-spectrometer integrated with a custom lens array and hyperspectral illumination source was developed for urine analysis. It measures light intensity across 288 channels (340–850 nm) from multiple angles and exposure times, capturing detailed spectral data. Analyzing 401 urine samples from 168 patients, statistical models in R software were used to assess the dependency between spectral data and clinical laboratory values. The prototype accurately detected response variables like bilirubin, erythrocytes, pH, protein, specific gravity, and urobilinogen, with AUC values indicating good to very good discrimination. Response variables like glucose and nitrite, which do not absorb within the measured spectrum, showed minimal correlation. Our smart catheter system presents the potential for a significant advancement in urine monitoring, providing continuous, accurate analysis of parameters absorbing within the visible light spectrum.","A novel smart sensor system for urinary catheters enables continuous, automated real-time spectroscopic urine monitoring, accurately detecting key parameters like bilirubin, pH, and protein, with potential to improve urological disorder diagnosis and UTI detection."
"Optical fiber-based dry chemical analyzing device and analyzing method for urine","https://scispace.com/paper/optical-fiber-based-dry-chemical-analyzing-device-and-4zykhn8o3y","2016","Patent","","Liu Gaiqin","","","The invention discloses an optical fiber-based dry chemical analyzing device and analyzing method for urine. The analyzing device comprises a test paper strip and a light source, and test paper blocks are arranged on the test paper strip; a composite light source formed by red tri-phosphor light with the brightness adjustable, green tri-phosphor light with the brightness adjustable and blue tri-phosphor light with the brightness adjustable is adopted as the light source, and the composite light source vertically irradiates to the test paper blocks through optical fibers; reflected light of the test paper blocks irradiates to a reflected light color sensor through reflective optical fibers; the composite light source directly irradiates to a direct light color sensor through direct optical fibers; the output ends of the color sensors are connected with a microprocessor which is connected with a light intensity control unit, and the light intensity control unit controls the intensity of the light in the three colors within a set range. According to the invention, the size of the dry chemical analyzing device for the urine can be reduced, the influence of the distance between the test paper strip and the light source on a testing result is reduced, the measuring precision and consistency are improved, and miniaturization and productization are easier to achieve.","In this paper, an optical fiber-based dry chemical analyzing device and analyzing method for urine was presented, which consisted of a test paper strip and a light source, and test paper blocks were arranged on the test paper strips."
